job_id,arrival_time,duration,gpu_milli,num_gpus
486,10394338.00,1522.00,1000,1
487,10395111.00,8171.00,1000,1
488,10395459.00,20156.00,1000,1
489,10398509.00,6051.00,1000,1
490,10398781.00,219.00,1000,1
491,10401633.00,600.00,1000,1
492,10402311.00,37.00,470,1
493,10405496.00,9409.00,110,1
494,10405820.00,3752.00,1000,1
495,10406065.00,2879.00,160,1
496,10409135.00,15361.00,1000,1
497,10409812.00,307.00,1000,1
498,10410767.00,7193.00,1000,1
499,10410937.00,3436.00,1000,1
500,10412019.00,1769.00,1000,1
501,10416283.00,1994.00,1000,1
502,10418049.00,2101.00,1000,1
503,10418677.00,1694.00,1000,1
504,10420053.00,6001.00,1000,1
505,10422335.00,598.00,460,1
506,10422609.00,2271.00,1000,1
507,10423053.00,1021.00,460,1
508,10429667.00,3936.00,1000,1
509,10430841.00,4274.00,1000,1
510,10432820.00,199.00,230,1
511,10432946.00,1269.00,470,1
512,10433709.00,475.00,470,1
513,10433799.00,330.00,1000,1
514,10433959.00,131.00,480,1
515,10434155.00,49499.00,460,1
516,10434545.00,371.00,1000,1
517,10434573.00,192.00,1000,1
518,10435374.00,1519.00,1000,1
519,10435598.00,1562.00,1000,1
520,10435669.00,3762.00,1000,1
521,10436334.00,3783.00,1000,1
522,10436385.00,245.00,1000,1
523,10436392.00,1456.00,320,1
524,10436424.00,104.00,1000,1
525,10436556.00,1013.00,320,1
526,10437793.00,105.00,470,1
527,10438117.00,12359.00,1000,1
528,10438646.00,1865.00,1000,1
529,10438828.00,5808.00,1000,1
530,10438984.00,5638.00,1000,1
531,10439500.00,115.00,1000,1
532,10441228.00,3786.00,1000,1
533,10442134.00,2530.00,1000,1
534,10445790.00,852.00,470,1
535,10447116.00,1799.00,1000,1
536,10448041.00,2456.00,1000,1
537,10448391.00,508.00,1000,1
538,10448437.00,278.00,470,1
539,10449254.00,197.00,1000,1
540,10450358.00,1257.00,1000,1
541,10450689.00,7444.00,320,1
542,10451453.00,3276.00,1000,1
543,10451555.00,202.00,1000,1
544,10454850.00,90.00,470,1
545,10455001.00,647.00,650,1
546,10455086.00,610.00,650,1
547,10456381.00,4251.00,1000,1
548,10458105.00,119.00,470,1
549,10459596.00,1203.00,1000,1
550,10460075.00,2341.00,1000,1
551,10462043.00,196.00,1000,1
552,10463316.00,544.00,1000,1
553,10463316.00,902.00,1000,1
554,10463437.00,9837.00,1000,1
555,10470372.00,4445.00,1000,1
556,10476744.00,2152.00,1000,1
557,10479784.00,5545.00,1000,1
558,10481045.00,5757.00,590,1
559,10481242.00,4867.00,1000,1
560,10481454.00,2044.00,1000,1
561,10486687.00,570.00,1000,1
562,10488913.00,22724.00,110,1
563,10490573.00,3618.00,1000,1
564,10491859.00,25559.00,320,1
565,10493831.00,2576.00,1000,1
566,10495656.00,12419.00,1000,1
567,10496918.00,2328.00,1000,1
568,10496935.00,2167.00,1000,1
569,10497137.00,86.00,1000,1
570,10498252.00,574.00,1000,1
571,10498879.00,71.00,1000,1
572,10499073.00,540.00,1000,1
573,10501135.00,2083.00,1000,1
574,10502555.00,64498.00,460,1
575,10502722.00,2282.00,1000,1
576,10512265.00,87.00,1000,1
577,10512454.00,2158.00,1000,1
578,10513293.00,540.00,460,1
579,10513355.00,5700.00,1000,1
580,10513654.00,2098.00,1000,1
581,10514256.00,2639.00,1000,1
582,10516533.00,540.00,1000,1
583,10517376.00,3660.00,1000,1
584,10519357.00,1500.00,1000,1
585,10520784.00,837.00,650,1
586,10520922.00,1443.00,1000,1
587,10521219.00,885.00,470,1
588,10521993.00,540.00,460,1
589,10522531.00,759.00,320,1
590,10522531.00,759.00,230,1
591,10524137.00,641.00,1000,1
592,10524173.00,592.00,1000,1
593,10527776.00,3643.00,1000,1
594,10530340.00,2138.00,1000,1
595,10530341.00,3837.00,1000,1
596,10531756.00,3596.00,480,1
597,10532219.00,2505.00,1000,1
598,10535088.00,1886.00,1000,1
599,10535139.00,1089.00,1000,1
600,10538102.00,3536.00,1000,1
601,10539516.00,58378.00,1000,1
602,10539860.00,1960.00,1000,1
603,10541688.00,749.00,1000,1
604,10543069.00,2397.00,1000,1
605,10543893.00,39440.00,1000,1
606,10547435.00,1202.00,1000,1
607,10552241.00,718.00,1000,1
608,10554159.00,2063.00,1000,1
609,10556443.00,2178.00,1000,1
610,10556555.00,1799.00,460,1
611,10557436.00,83.00,1000,1
612,10557885.00,853.00,1000,1
613,10559926.00,2079.00,1000,1
614,10562078.00,5704.00,1000,1
615,10563307.00,1976.00,1000,1
616,10565708.00,2412.00,1000,1
617,10567150.00,581.00,1000,1
618,10567172.00,811.00,1000,1
619,10567375.00,25.00,1000,1
620,10567539.00,2820.00,1000,1
621,10567597.00,16259.00,1000,1
622,10582475.00,11341.00,1000,1
623,10585655.00,4572.00,1000,1
624,10594953.00,36150.00,1000,1
625,10596156.00,6329.00,1000,1
626,10597038.00,940.00,1000,1
627,10600473.00,52711.00,1000,1
628,10602456.00,1199.00,1000,1
629,10602939.00,54451.00,1000,1
630,10603141.00,477.00,1000,1
631,10603535.00,781.00,1000,1
632,10604208.00,164.00,470,1
633,10604707.00,478.00,1000,1
634,10605236.00,167.00,1000,1
635,10605761.00,2035.00,1000,1
