figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig10,ours,gavel,max_min_fairness_perf,2.4,1,False,1000,23.856891279229057,1.2414593370225695,5.746777072482638,19.243194444444445,67.79384461805556,217.6283355902777,445.5584929861161,501.0445486111111
fig10,ours,gavel,max_min_fairness_perf,2.4,2,False,1000,25.375255076972113,1.2305451117621526,5.729622938368055,18.30990993923611,62.98851475694447,281.5418147569443,784.94673868056,833.9974305555555
fig10,ours,gavel,max_min_fairness_perf,2.4,all,False,3000,25.45321366071913,1.2220050455729166,5.730287543402778,18.43258029513889,67.07096918402775,258.92766267360577,684.4706663889093,1112.2413194444443
fig10,ours,gavel,max_min_fairness_perf,2.6,0,False,1000,34.2995566334025,1.212798556857639,6.405135633680556,21.4469970703125,80.47421440972222,498.6298239583332,1050.974986388949,1718.6263888888889
fig10,ours,gavel,max_min_fairness_perf,2.6,1,False,1000,28.62885066789415,1.1418948974609375,5.7481665039062495,20.854188368055556,68.55181987847224,296.93223020833324,1339.5975879166767,1449.8529166666667
fig10,ours,gavel,max_min_fairness_perf,2.6,2,False,1000,32.68974835890028,1.1899127061631944,5.831266276041667,20.62963921440972,66.40753428819446,404.26342118055516,1648.0380240277873,1754.4277777777777
fig10,ours,gavel,max_min_fairness_perf,2.6,all,False,3000,31.87271855339898,1.1889533555772571,5.98189914279514,20.977016059027775,72.12124956597219,444.31750833333274,1450.0509952778182,1754.4277777777777
fig10,ours,gavel,max_min_fairness_perf,2.8,0,False,1000,91.8757294921536,1.2605979139539931,7.184032931857638,24.913155924479167,97.7374279513889,806.6893465277775,1314.3882212540948,46746.16
fig10,ours,gavel,max_min_fairness_perf,2.8,1,False,1000,56.541086297183575,1.236277072482639,6.4687060546875,24.761458875868055,78.41244965277778,437.2697031249999,6837.133658334146,15860.093333333334
fig10,ours,gavel,max_min_fairness_perf,2.8,2,False,1000,35.54538870710585,1.2357909342447917,6.452007921006944,23.05085015190972,77.52833506944448,501.5639621527775,1331.4542676388915,1358.472638888889
fig10,ours,gavel,max_min_fairness_perf,2.8,all,False,3000,61.32073483214767,1.2386245117187502,6.685579427083333,24.365892469618057,85.52782638888888,629.2526979166657,1970.8876316676572,46746.16
fig10,ours,gavel,max_min_fairness_perf,3.0,0,True,995,54.31886316439374,1.39242578125,7.814407552083333,27.369580078125,110.13744444444451,926.9280222222221,1726.6973455555642,1826.6009722222223
fig10,ours,gavel,max_min_fairness_perf,3.0,1,True,993,39.313804054426726,1.3925769042968752,7.412985568576389,26.95269097222222,93.79064409722224,541.4162472222223,934.8579861111232,1014.1146527777778
fig10,ours,gavel,max_min_fairness_perf,3.0,2,True,992,46.764721559196396,1.447163560655382,7.891227756076389,27.14839301215278,92.06038715277775,833.2612145833344,2042.8447443055738,2184.2481944444444
fig10,ours,gavel,max_min_fairness_perf,3.0,all,True,2980,46.804187940047086,1.4134410129123267,7.766108669704861,27.339635959201388,99.62445138888884,850.4386618055562,1728.2049455555743,2184.2481944444444
fig10,paper,baseline,,0.2,,False,,25,,,,,,,
fig10,paper,baseline,,0.4,,False,,23,,,,,,,
fig10,paper,baseline,,0.6,,False,,24,,,,,,,
fig10,paper,baseline,,0.8,,False,,23,,,,,,,
fig10,paper,baseline,,1.0,,False,,23,,,,,,,
fig10,paper,baseline,,1.2,,False,,23,,,,,,,
fig10,paper,baseline,,1.4,,False,,25,,,,,,,
fig10,paper,baseline,,1.6,,False,,23,,,,,,,
fig10,paper,baseline,,1.8,,False,,23,,,,,,,
fig10,paper,baseline,,2.0,,False,,25,,,,,,,
fig10,paper,baseline,,2.2,,False,,30,,,,,,,
fig10,paper,baseline,,2.4,,False,,41,,,,,,,
fig10,paper,baseline,,2.6,,False,,94,,,,,,,
fig10,paper,gavel,,0.2,,False,,17,,,,,,,
fig10,paper,gavel,,0.4,,False,,17,,,,,,,
fig10,paper,gavel,,0.6,,False,,17,,,,,,,
fig10,paper,gavel,,0.8,,False,,17,,,,,,,
fig10,paper,gavel,,1.0,,False,,16,,,,,,,
fig10,paper,gavel,,1.2,,False,,17,,,,,,,
fig10,paper,gavel,,1.4,,False,,17,,,,,,,
fig10,paper,gavel,,1.6,,False,,17,,,,,,,
fig10,paper,gavel,,1.8,,False,,17,,,,,,,
fig10,paper,gavel,,2.0,,False,,18,,,,,,,
fig10,paper,gavel,,2.2,,False,,19,,,,,,,
fig10,paper,gavel,,2.4,,False,,26,,,,,,,
fig10,paper,gavel,,2.6,,False,,31,,,,,,,
fig10,paper,gavel,,2.8,,False,,46,,,,,,,
fig10,paper,gavel,,3.0,,False,,100,,,,,,,
