name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig9_max_min_fairness_6.800000000000001jph_single_s2,max_min_fairness,6.800000000000001,1229.59,432315.72,99.35,True
fig9_max_min_fairness_7.200000000000001jph_single_s0,max_min_fairness,7.200000000000001,1446.03,431490.92,99.3,True
fig9_max_min_fairness_7.200000000000001jph_single_s1,max_min_fairness,7.200000000000001,1554.7,457534.6,99.17,True
fig9_max_min_fairness_7.200000000000001jph_single_s2,max_min_fairness,7.200000000000001,1437.73,472654.07,99.44,True
fig9_max_min_fairness_7.6000000000000005jph_single_s0,max_min_fairness,7.6,1654.76,437600.52,99.35,True
fig9_max_min_fairness_7.6000000000000005jph_single_s1,max_min_fairness,7.6,1734.61,446849.67,99.28,True
fig9_max_min_fairness_7.6000000000000005jph_single_s2,max_min_fairness,7.6,1625.9,489049.02,99.5,True
fig9_max_min_fairness_8.0jph_single_s0,max_min_fairness,8.0,1485.99,456405.67,99.39,True
fig9_max_min_fairness_8.0jph_single_s1,max_min_fairness,8.0,1522.46,467648.55,99.38,True
fig9_max_min_fairness_8.0jph_single_s2,max_min_fairness,8.0,767.39,505522.91,99.54,True
fig9_max_min_fairness_perf_0.4jph_single_s0,max_min_fairness_perf,0.4,23.81,inf,6.33,True
fig9_max_min_fairness_perf_0.4jph_single_s1,max_min_fairness_perf,0.4,22.44,inf,5.99,True
fig9_max_min_fairness_perf_0.4jph_single_s2,max_min_fairness_perf,0.4,25.34,inf,7.17,True
fig9_max_min_fairness_perf_0.8jph_single_s0,max_min_fairness_perf,0.8,38.68,inf,12.43,True
fig9_max_min_fairness_perf_0.8jph_single_s1,max_min_fairness_perf,0.8,38.87,inf,12.61,True
