metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
occupied_nodes,10,dotprod,449.03,11.84,3,
occupied_nodes,10,fgd,335.09,5.96,3,120
occupied_nodes,10,gpuclustering,617.0,0.0,3,351
occupied_nodes,10,gpupacking,326.65,5.68,3,
occupied_nodes,10,random,554.59,11.77,3,520
occupied_nodes,15,bestfit,376.22,2.86,3,
occupied_nodes,15,dotprod,665.51,13.27,3,
occupied_nodes,15,fgd,478.84,6.0,3,
occupied_nodes,15,gpuclustering,617.0,0.0,3,
occupied_nodes,15,gpupacking,487.23,8.25,3,
occupied_nodes,15,random,733.82,13.51,3,
occupied_nodes,20,bestfit,498.29,5.34,3,
occupied_nodes,20,dotprod,707.35,4.26,3,
occupied_nodes,20,fgd,601.04,1.1,3,258
occupied_nodes,20,gpuclustering,617.0,0.0,3,604
occupied_nodes,20,gpupacking,602.37,2.45,3,
occupied_nodes,20,random,869.96,6.44,3,849
occupied_nodes,25,bestfit,616.72,8.66,3,
occupied_nodes,25,dotprod,719.06,2.86,3,
occupied_nodes,25,fgd,645.22,0.53,3,
occupied_nodes,25,gpuclustering,617.0,0.0,3,
occupied_nodes,25,gpupacking,645.16,1.18,3,
occupied_nodes,25,random,978.17,8.24,3,
occupied_nodes,30,bestfit,685.41,1.63,3,
occupied_nodes,30,dotprod,726.57,1.15,3,
occupied_nodes,30,fgd,685.96,0.99,3,402
occupied_nodes,30,gpuclustering,617.0,0.0,3,699
occupied_nodes,30,gpupacking,685.7,0.57,3,
occupied_nodes,30,random,1056.87,1.98,3,1075
occupied_nodes,35,bestfit,726.1,1.43,3,
occupied_nodes,35,dotprod,735.33,3.4,3,
occupied_nodes,35,fgd,726.79,1.01,3,
occupied_nodes,35,gpuclustering,617.0,0.0,3,
occupied_nodes,35,gpupacking,726.79,0.73,3,
occupied_nodes,35,random,1110.19,1.95,3,
occupied_nodes,40,bestfit,766.8,1.5,3,
occupied_nodes,40,dotprod,740.67,3.4,3,
occupied_nodes,40,fgd,767.47,0.83,3,525
occupied_nodes,40,gpuclustering,617.0,0.0,3,780
occupied_nodes,40,gpupacking,767.92,0.74,3,
occupied_nodes,40,random,1145.79,5.52,3,1177
occupied_nodes,45,bestfit,808.05,1.09,3,
occupied_nodes,45,dotprod,745.86,3.92,3,
occupied_nodes,45,fgd,808.05,0.91,3,
occupied_nodes,45,gpuclustering,617.0,0.0,3,
occupied_nodes,45,gpupacking,808.86,0.54,3,
occupied_nodes,45,random,1169.19,5.49,3,
occupied_nodes,50,bestfit,848.94,1.54,3,
occupied_nodes,50,dotprod,754.65,1.74,3,
occupied_nodes,50,fgd,847.94,1.42,3,661
occupied_nodes,50,gpuclustering,671.0,0.0,3,880
occupied_nodes,50,gpupacking,849.47,0.51,3,
occupied_nodes,50,random,1185.65,3.49,3,1204
occupied_nodes,55,bestfit,889.16,1.26,3,
occupied_nodes,55,dotprod,759.0,1.41,3,
occupied_nodes,55,fgd,889.16,1.26,3,
occupied_nodes,55,gpuclustering,671.0,0.0,3,
occupied_nodes,55,gpupacking,890.35,0.42,3,
occupied_nodes,55,random,1196.33,2.36,3,
occupied_nodes,60,bestfit,929.92,1.25,3,
occupied_nodes,60,dotprod,764.0,2.16,3,
occupied_nodes,60,fgd,929.92,1.28,3,771
occupied_nodes,60,gpuclustering,671.0,0.0,3,960
occupied_nodes,60,gpupacking,931.13,0.38,3,
occupied_nodes,60,random,1201.33,3.86,3,1211
occupied_nodes,65,bestfit,971.1,1.58,3,
occupied_nodes,65,dotprod,770.45,1.75,3,
occupied_nodes,65,fgd,970.48,1.19,3,
occupied_nodes,65,gpuclustering,671.0,0.0,3,
occupied_nodes,65,gpupacking,972.1,0.6,3,
occupied_nodes,65,random,1205.67,2.62,3,
occupied_nodes,70,bestfit,1011.58,1.49,3,
occupied_nodes,70,dotprod,811.51,27.93,3,
occupied_nodes,70,fgd,1010.92,1.62,3,907
occupied_nodes,70,gpuclustering,690.83,28.05,3,1040
occupied_nodes,70,gpupacking,1012.92,0.98,3,
occupied_nodes,70,random,1209.67,0.94,3,1225
occupied_nodes,75,bestfit,1052.72,2.08,3,
occupied_nodes,75,dotprod,1068.8,57.0,3,
occupied_nodes,75,fgd,1051.61,2.09,3,
occupied_nodes,75,gpuclustering,964.24,62.71,3,
occupied_nodes,75,gpupacking,1053.72,1.08,3,
occupied_nodes,75,random,1211.0,0.0,3,
occupied_nodes,80,bestfit,1093.27,2.33,3,
occupied_nodes,80,dotprod,1158.33,3.86,3,
occupied_nodes,80,fgd,1092.27,2.02,3,1017
occupied_nodes,80,gpuclustering,1189.0,0.0,3,1100
occupied_nodes,80,gpupacking,1094.27,1.36,3,
occupied_nodes,80,random,1211.67,0.94,3,1225
occupied_nodes,85,bestfit,1133.93,2.29,3,
occupied_nodes,85,dotprod,1162.33,2.87,3,
occupied_nodes,85,fgd,1133.07,2.69,3,
occupied_nodes,85,gpuclustering,1189.0,0.0,3,
occupied_nodes,85,gpupacking,1134.93,1.18,3,
occupied_nodes,85,random,1212.33,0.94,3,
occupied_nodes,90,bestfit,1174.52,2.64,3,
occupied_nodes,90,dotprod,1166.67,3.09,3,
occupied_nodes,90,fgd,1173.19,2.45,3,1146
occupied_nodes,90,gpuclustering,1189.0,0.0,3,1170
occupied_nodes,90,gpupacking,1175.85,1.18,3,
occupied_nodes,90,random,1212.67,0.47,3,1200
occupied_nodes,95,bestfit,1212.68,0.45,3,
occupied_nodes,95,dotprod,1204.42,12.14,3,
occupied_nodes,95,fgd,1212.37,0.45,3,1208
occupied_nodes,95,gpuclustering,1201.02,4.29,3,1208
occupied_nodes,95,gpupacking,1213.0,0.0,3,
occupied_nodes,95,random,1213.0,0.0,3,1201
occupied_nodes,100,bestfit,1213.0,0.0,3,
occupied_nodes,100,dotprod,1213.0,0.0,3,
occupied_nodes,100,fgd,1213.0,0.0,3,
occupied_nodes,100,gpuclustering,1213.0,0.0,3,
occupied_nodes,100,gpupacking,1213.0,0.0,3,
occupied_nodes,100,random,1213.0,0.0,3,
occupied_nodes,105,bestfit,1213.0,0.0,3,
occupied_nodes,105,dotprod,1213.0,0.0,3,
occupied_nodes,105,fgd,1213.0,0.0,3,
occupied_nodes,105,gpuclustering,1213.0,0.0,3,
occupied_nodes,105,gpupacking,1213.0,0.0,3,
occupied_nodes,105,random,1213.0,0.0,3,
occupied_nodes,110,bestfit,1213.0,0.0,3,
occupied_nodes,110,dotprod,1213.0,0.0,3,
occupied_nodes,110,fgd,1213.0,0.0,3,
occupied_nodes,110,gpuclustering,1213.0,0.0,3,
occupied_nodes,110,gpupacking,1213.0,0.0,3,
occupied_nodes,110,random,1213.0,0.0,3,
occupied_nodes,115,bestfit,1213.0,0.0,3,
occupied_nodes,115,dotprod,1213.0,0.0,3,
occupied_nodes,115,fgd,1213.0,0.0,3,
occupied_nodes,115,gpuclustering,1213.0,0.0,3,
occupied_nodes,115,gpupacking,1213.0,0.0,3,
occupied_nodes,115,random,1213.0,0.0,3,
occupied_nodes,120,bestfit,1213.0,0.0,3,
occupied_nodes,120,dotprod,1213.0,0.0,3,
occupied_nodes,120,fgd,1213.0,0.0,3,
occupied_nodes,120,gpuclustering,1213.0,0.0,3,
occupied_nodes,120,gpupacking,1213.0,0.0,3,
occupied_nodes,120,random,1213.0,0.0,3,
unalloc_gpu_pct,0,bestfit,99.87,0.01,3,
unalloc_gpu_pct,0,dotprod,99.87,0.01,3,
unalloc_gpu_pct,0,fgd,99.87,0.01,3,
unalloc_gpu_pct,0,gpuclustering,99.87,0.01,3,
unalloc_gpu_pct,0,gpupacking,99.87,0.01,3,
unalloc_gpu_pct,0,random,99.87,0.01,3,
unalloc_gpu_pct,5,bestfit,95.0,0.0,3,
unalloc_gpu_pct,5,dotprod,95.0,0.0,3,
unalloc_gpu_pct,5,fgd,95.0,0.0,3,
unalloc_gpu_pct,5,gpuclustering,95.0,0.0,3,
unalloc_gpu_pct,5,gpupacking,95.0,0.0,3,
unalloc_gpu_pct,5,random,95.0,0.0,3,
unalloc_gpu_pct,10,bestfit,90.0,0.0,3,
unalloc_gpu_pct,10,dotprod,90.0,0.0,3,
unalloc_gpu_pct,10,fgd,90.0,0.0,3,
unalloc_gpu_pct,10,gpuclustering,90.09,0.06,3,
unalloc_gpu_pct,10,gpupacking,90.0,0.0,3,
unalloc_gpu_pct,10,random,90.0,0.0,3,
unalloc_gpu_pct,15,bestfit,85.0,0.0,3,
unalloc_gpu_pct,15,dotprod,85.0,0.0,3,
unalloc_gpu_pct,15,fgd,85.0,0.0,3,
unalloc_gpu_pct,15,gpuclustering,85.34,0.06,3,
unalloc_gpu_pct,15,gpupacking,85.0,0.0,3,
unalloc_gpu_pct,15,random,85.0,0.0,3,
unalloc_gpu_pct,20,bestfit,80.0,0.0,3,
unalloc_gpu_pct,20,dotprod,80.0,0.0,3,
unalloc_gpu_pct,20,fgd,80.0,0.0,3,
unalloc_gpu_pct,20,gpuclustering,80.6,0.06,3,
unalloc_gpu_pct,20,gpupacking,80.0,0.0,3,
unalloc_gpu_pct,20,random,80.0,0.0,3,
unalloc_gpu_pct,25,bestfit,75.0,0.0,3,
unalloc_gpu_pct,25,dotprod,75.0,0.0,3,
unalloc_gpu_pct,25,fgd,75.0,0.0,3,
unalloc_gpu_pct,25,gpuclustering,75.91,0.2,3,
unalloc_gpu_pct,25,gpupacking,75.0,0.0,3,
unalloc_gpu_pct,25,random,75.0,0.0,3,
unalloc_gpu_pct,30,bestfit,70.0,0.0,3,
unalloc_gpu_pct,30,dotprod,70.0,0.0,3,
unalloc_gpu_pct,30,fgd,70.0,0.0,3,
unalloc_gpu_pct,30,gpuclustering,71.17,0.02,3,
unalloc_gpu_pct,30,gpupacking,70.0,0.0,3,
unalloc_gpu_pct,30,random,70.0,0.0,3,
unalloc_gpu_pct,35,bestfit,65.0,0.0,3,
unalloc_gpu_pct,35,dotprod,65.04,0.06,3,
unalloc_gpu_pct,35,fgd,65.0,0.0,3,
unalloc_gpu_pct,35,gpuclustering,66.59,0.26,3,
unalloc_gpu_pct,35,gpupacking,65.0,0.0,3,
unalloc_gpu_pct,35,random,65.0,0.0,3,
unalloc_gpu_pct,40,bestfit,60.0,0.0,3,
